"","data_id","treat","age","educ","black","hisp","marr","nodegree","re74","re75","re78","earning_log"
"1","Dehejia-Wahba Sample",1,37,11,1,0,1,1,0,0,9930.0458984375,9.20342107862639
"2","Dehejia-Wahba Sample",1,22,9,0,1,0,1,0,0,3595.89404296875,8.18782598620553
"3","Dehejia-Wahba Sample",1,30,12,1,0,0,0,0,0,24909.44921875,10.1230426417648
"4","Dehejia-Wahba Sample",1,27,11,1,0,0,1,0,0,7506.14599609375,8.92361064537826
"5","Dehejia-Wahba Sample",1,33,8,1,0,0,1,0,0,289.789886474609,5.6726009667692
"6","Dehejia-Wahba Sample",1,22,9,1,0,0,1,0,0,4056.49389648438,8.30832079513238
"7","Dehejia-Wahba Sample",1,23,12,1,0,0,0,0,0,0,0
"8","Dehejia-Wahba Sample",1,32,11,1,0,0,1,0,0,8472.158203125,9.04465858746579
"9","Dehejia-Wahba Sample",1,22,16,1,0,0,0,0,0,2164.02197265625,7.680185789418
"10","Dehejia-Wahba Sample",1,33,12,0,0,1,0,0,0,12418.0703125,9.42698849861974
"11","Dehejia-Wahba Sample",1,19,9,1,0,0,1,0,0,8173.908203125,9.00882476672687
"12","Dehejia-Wahba Sample",1,21,13,1,0,0,0,0,0,17094.640625,9.74657877577897
"13","Dehejia-Wahba Sample",1,18,8,1,0,0,1,0,0,0,0
"14","Dehejia-Wahba Sample",1,27,10,1,0,1,1,0,0,18739.9296875,9.83846516435378
"15","Dehejia-Wahba Sample",1,17,7,1,0,0,1,0,0,3023.87890625,8.01462633867195
"16","Dehejia-Wahba Sample",1,19,10,1,0,0,1,0,0,3228.5029296875,8.08008351263654
"17","Dehejia-Wahba Sample",1,27,13,1,0,0,0,0,0,14581.8603515625,9.58760216955597
"18","Dehejia-Wahba Sample",1,23,10,1,0,0,1,0,0,7693.39990234375,8.94824805783154
"19","Dehejia-Wahba Sample",1,40,12,1,0,0,0,0,0,10804.3203125,9.28779391334194
"20","Dehejia-Wahba Sample",1,26,12,1,0,0,0,0,0,10747.349609375,9.28250749706038
"21","Dehejia-Wahba Sample",1,23,11,1,0,0,1,0,0,0,0
"22","Dehejia-Wahba Sample",1,41,14,0,0,0,0,0,0,5149.5009765625,8.54684926592911
"23","Dehejia-Wahba Sample",1,38,9,0,0,0,1,0,0,6408.9501953125,8.76560678004249
